Soundex of abckvq : 3  : abusive : abusively : abusiveness
Soundex of aphpsn : 1  : aboveground
Soundex of aqhfo : 4  : achieve : aesop : agape : asp
Soundex of aqqgg : 28  : ace : ache : achy : age : agio : ago : ague : aqua : as : asa : ascii : ase : ash : ashy : asia : ask : askew : asks : ass : assay : auk : auks : awake : awash : awes : awoke : axe : ayes
Metaphone of aqqgg : 1  : agog
Soundex of arbthfu : 23  : aerobatics : arbiter : arbiters : arbitrable : arbitrage : arbitrages : arbitrageur : arbitrageurs : arbitrament : arbitraments : arbitrarily : arbitrariness : arbitrary : arbitrate : arbitrated : arbitrates : arbitrating : arbitration : arbitrator : arbitrators : arbutus : arbutuses : arrived
Soundex of arotcxi : 37  : aerates : airtight : aortas : aortic : arduous : arduously : arduousness : arrowheads : artesian : artichoke : artichokes : article : articled : articles : articling : articulate : articulated : articulately : articulates : articulating : articulation : articulations : articulator : articulators : artiest : artis : artisan : artisans : artist : artiste : artistes : artistic : artistically : artistry : artists : arts : awards
Soundex of asgh : 28  : ace : ache : achy : age : agio : ago : ague : aqua : as : asa : ascii : ase : ash : ashy : asia : ask : askew : asks : ass : assay : auk : auks : awake : awash : awes : awoke : axe : ayes
Soundex of asm : 18  : aachen : acme : acne : aegean : aequum : again : agony : akin : ashen : asian : assam : assume : aswan : awaken : awesome : awoken : axiom : axon
Metaphone of asm : 2  : assam : assume
Soundex of asssita : 24  : accede : aced : ached : acid : acquit : act : acta : acte : acuity : acute : agate : agatha : aged : agouti : aikido : ascot : aside : asked : asquith : assayed : asset : aught : awaked : axed
Metaphone of asssita : 4  : aced : acid : aside : asset
Soundex of assuw : 28  : ace : ache : achy : age : agio : ago : ague : aqua : as : asa : ascii : ase : ash : ashy : asia : ask : askew : asks : ass : assay : auk : auks : awake : awash : awes : awoke : axe : ayes
Metaphone of assuw : 7  : ace : as : asa : ascii : ase : ass : assay
Soundex of atetrw : 6  : atwitter : auditor : auditorium : auditoriums : auditors : auditory
Metaphone of atetrw : 2  : auditor : auditory
Soundex of atim : 9  : adam : adeem : aden : athena : atom : atone : attain : attune : autumn
Metaphone of atim : 3  : adam : adeem : atom
Soundex of atq : 24  : adage : adagio : addax : addis : adds : adduce : adieus : adieux : adios : ads : adze : aides : aids : ataxia : attach : attachÉ : attack : attacks : attic : attics : audis : autocue : autos : awaits
Metaphone of atq : 3  : attack : attic : autocue
Soundex of atuw : 15  : ad : ada : add : adieu : ado : ahead : aid : aida : aide : at : ate : audio : auto : await : awed
Metaphone of atuw : 12  : ad : ada : add : adieu : ado : aid : aida : aide : at : ate : audio : auto
Soundex of atxzm : 21  : addison : adducing : adhesion : adhesions : adjoin : adjoined : adjoining : adjoins : adjunct : adjunction : adjunctive : adjuncts : aitken : atheism : atkins : atkinson : attaching : attachment : attachments : attacking : autism
Soundex of aujoq : 24  : acacia : access : accuse : aces : aches : acquiesce : aegis : ages : agios : agog : agues : ajax : aqueous : ashes : assays : assegai : asses : assess : assisi : assize : assuage : awakes : axes : axis
Soundex of auvkk : 26  : abaci : aback : abase : abash : abbacy : abbess : abbeys : abc : abuja : abuse : abyss : affix : apace : apache : apes : apex : aphasia : aphis : apiece : apis : apish : apogee : appease : apse : avouch : avows
Soundex of avhgw : 26  : abaci : aback : abase : abash : abbacy : abbess : abbeys : abc : abuja : abuse : abyss : affix : apace : apache : apes : apex : aphasia : aphis : apiece : apis : apish : apogee : appease : apse : avouch : avows
Soundex of avzpjsq : 3  : abusive : abusively : abusiveness
Soundex of axsjl : 11  : agile : aglow : aisle : aquilia : ashley : assail : asshole : axial : axially : axle : azalea
Soundex of ayf : 9  : ab : aba : abbey : abe : abu : ape : apia : ave : avow
Metaphone of ayf : 2  : ave : avow
Soundex of ayubjt : 98  : abactor : abactors : abased : abashed : abecedarian : abecedarians : abstain : abstained : abstainer : abstainers : abstaining : abstains : abstemious : abstemiously : abstention : abstentions : abstinence : abstinent : abstinently : abstract : abstracted : abstractedly : abstractedness : abstracter : abstracters : abstracting : abstraction : abstractionism : abstractionist : abstractionists : abstractions : abstractive : abstractly : abstractness : abstractor : abstractors : abstracts : abstruse : abstrusely : abstruseness : abused : affect : affectation : affectations : affected : affectedly : affectedness : affecting : affectingly : affection : affectionate : affectionately : affections : affective : affects : affixed : apostasies : apostasy : apostate : apostates : apostatise : apostatised : apostatises : apostatising : apostatize : apostatized : apostatizes : apostatizing : apostle : apostles : apostolic : apostrophe : apostrophes : apostrophise : apostrophised : apostrophises : apostrophising : apostrophize : apostrophized : apostrophizes : apostrophizing : appeased : appestat : appestats : apposite : appositely : apposition : appositions : appositive : appositives : avocado : avocados : avocat : avocation : avocations : avocet : avocets : avouched
Soundex of azjldr : 25  : accolade : accolades : acculturate : acculturated : acculturates : acculturating : acculturation : acolyte : acolytes : agglutinate : agglutinated : agglutinates : agglutinating : agglutination : agglutinations : agglutinative : agglutinin : agility : aglitter : assailed : assault : assaulted : assaulting : assaults : auscultation
Soundex of azyu : 28  : ace : ache : achy : age : agio : ago : ague : aqua : as : asa : ascii : ase : ash : ashy : asia : ask : askew : asks : ass : assay : auk : auks : awake : awash : awes : awoke : axe : ayes
Soundex of bavr : 10  : bavaria : bayberry : beaver : beefier : beeper : before : behavior : behaviour : bovary : buffer
Metaphone of bavr : 6  : bavaria : beaver : beefier : before : bovary : buffer
Soundex of bcop : 7  : backup : bacup : bioscopy : bishop : bookshop : bugaboo : busboy
Metaphone of bcop : 2  : backup : bacup
Soundex of bcuuo : 98  : bach : back : backs : bag : baggy : bags : baize : bake : bas : base : bash : bask : basks : basque : bass : bausch : bayeux : bayous : bays : bbc : bc : beach : beachy : beak : beaks : beaux : beck : becky : beech : bees : beg : begs : beige : bess : bias : big : biggs : bijou : bike : bikeway : bioassay : bios : bis : biscay : bisque : bissau : biz : boas : bog : bogey : boggy : bogie : bogs : bogy : boise : boogie : boohoos : book : bookie : books : boos : booze : boozy : bosch : bosh : bosky : boss : bossy : bough : bowes : bowies : bows : box : boxy : boyce : boyish : boys : bozo : bsc : buck : buckeye : bucks : bug : buggy : bugs : buick : buoys : bus : bush : bushy : busk : busks : buss : busy : buys : buzz : byes : byways
Metaphone of bcuuo : 20  : back : bag : baggy : bake : bbc : bc : beak : beck : becky : beg : big : bike : bog : boggy : book : bookie : buck : bug : buggy : buick
Soundex of bejei : 98  : bach : back : backs : bag : baggy : bags : baize : bake : bas : base : bash : bask : basks : basque : bass : bausch : bayeux : bayous : bays : bbc : bc : beach : beachy : beak : beaks : beaux : beck : becky : beech : bees : beg : begs : beige : bess : bias : big : biggs : bijou : bike : bikeway : bioassay : bios : bis : biscay : bisque : bissau : biz : boas : bog : bogey : boggy : bogie : bogs : bogy : boise : boogie : boohoos : book : bookie : books : boos : booze : boozy : bosch : bosh : bosky : boss : bossy : bough : bowes : bowies : bows : box : boxy : boyce : boyish : boys : bozo : bsc : buck : buckeye : bucks : bug : buggy : bugs : buick : buoys : bus : bush : bushy : busk : busks : buss : busy : buys : buzz : byes : byways
Metaphone of bejei : 10  : badge : beige : bijou : bodge : bogey : bogie : bogy : boogie : budge : budgie
Soundex of belooe : 41  : bail : bailee : bailey : bala : bale : bali : ball : ballyhoo : bawl : beaulieu : belay : belie : bell : belle : belli : bello : bellow : belly : below : bewail : bile : bill : billow : billowy : billy : bleu : blew : blow : blowy : blue : boil : bola : bole : boll : bolo : bowel : bowl : boyle : bull : bully : bylaw
Metaphone of belooe : 38  : bail : bailee : bailey : bala : bale : bali : ball : bawl : beaulieu : belay : belie : bell : belle : belli : bello : bellow : belly : below : bile : bill : billow : billowy : billy : bleu : blew : blow : blowy : blue : boil : bola : bole : boll : bolo : bowl : boyle : bull : bully : bylaw
Soundex of bfuyusz : 98  : bach : back : backs : bag : baggy : bags : baize : bake : bas : base : bash : bask : basks : basque : bass : bausch : bayeux : bayous : bays : bbc : bc : beach : beachy : beak : beaks : beaux : beck : becky : beech : bees : beg : begs : beige : bess : bias : big : biggs : bijou : bike : bikeway : bioassay : bios : bis : biscay : bisque : bissau : biz : boas : bog : bogey : boggy : bogie : bogs : bogy : boise : boogie : boohoos : book : bookie : books : boos : booze : boozy : bosch : bosh : bosky : boss : bossy : bough : bowes : bowies : bows : box : boxy : boyce : boyish : boys : bozo : bsc : buck : buckeye : bucks : bug : buggy : bugs : buick : buoys : bus : bush : bushy : busk : busks : buss : busy : buys : buzz : byes : byways
Soundex of bgr : 31  : backer : baggier : baker : bakery : baser : basher : basra : bazaar : beachwear : beaker : beggar : beggary : bicker : bigger : biker : bizarre : boggier : booker : bookshare : boozer : boozier : bossier : boxcar : boxer : buckaroo : bugger : buggery : bushier : busier : busker : buzzer
Metaphone of bgr : 15  : backer : baggier : baker : bakery : beaker : beggar : beggary : bicker : bigger : biker : boggier : booker : buckaroo : bugger : buggery
Soundex of bgrroki : 20  : backers : backrest : backrests : bakeries : bakers : bashers : bazaars : beakers : beggars : bickers : bikers : bookers : boozers : boxcars : boxers : bucharest : buckaroos : buggers : buskers : buzzers
Soundex of bgzfm : 19  : backbencher : backbenches : backbend : backbends : backbone : backbones : backspin : backspins : beekeeping : bespangle : bespangled : bespangles : bespangling : bookbinder : bookbinderies : bookbinders : bookbindery : bookbinding : bookkeeping
Soundex of bhhbowd : 13  : babied : babyhood : beefed : beeped : befit : behaved : behooved : behoved : biped : bobbed : bopped : buffed : buffet
Metaphone of bhhbowd : 2  : babied : bobbed
Soundex of bjdstq : 33  : backsides : backstage : backwoods : backwoodsman : backwoodsmen : baguettes : baskets : bassets : basswoods : bastes : beachheads : beasties : beasts : begets : bequeaths : besets : besides : bestows : bests : bestseller : bestsellers : bigheads : bights : bigots : biscuits : boasts : boosts : bouquets : boxwoods : boycotts : buckets : buckshots : busts
Soundex of bjff : 7  : backup : bacup : bioscopy : bishop : bookshop : bugaboo : busboy
Soundex of bjixlx : 11  : basically : bicycle : bicycled : bicycles : bicycling : bicyclist : bicyclists : bisexual : bisexuality : bisexually : bisexuals
Soundex of bkoi : 98  : bach : back : backs : bag : baggy : bags : baize : bake : bas : base : bash : bask : basks : basque : bass : bausch : bayeux : bayous : bays : bbc : bc : beach : beachy : beak : beaks : beaux : beck : becky : beech : bees : beg : begs : beige : bess : bias : big : biggs : bijou : bike : bikeway : bioassay : bios : bis : biscay : bisque : bissau : biz : boas : bog : bogey : boggy : bogie : bogs : bogy : boise : boogie : boohoos : book : bookie : books : boos : booze : boozy : bosch : bosh : bosky : boss : bossy : bough : bowes : bowies : bows : box : boxy : boyce : boyish : boys : bozo : bsc : buck : buckeye : bucks : bug : buggy : bugs : buick : buoys : bus : bush : bushy : busk : busks : buss : busy : buys : buzz : byes : byways
Metaphone of bkoi : 20  : back : bag : baggy : bake : bbc : bc : beak : beck : becky : beg : big : bike : bog : boggy : book : bookie : buck : bug : buggy : buick
Soundex of bmf : 11  : bambi : bamboo : banff : bimbo : bomb : bombay : bombe : bumf : bump : bumph : bumpy
Metaphone of bmf : 2  : bumf : bumph
Soundex of bmqyxd : 20  : bancos : bangkok : banishes : banjoist : banjoists : banjos : banques : banshees : bemuses : benches : benzes : benzoic : binges : bongoes : bongos : bonuses : bonzes : bounces : bounciest : bunches
Soundex of bnkta : 30  : banged : banished : banister : banisters : banked : bannister : bannisters : banquet : banqueted : banqueting : banquets : banquette : banquettes : beanstalk : beanstalks : bemused : benched : benighted : benzedrine : benzoate : bimestrial : binged : bonged : boniest : bonked : bonniest : bounced : bunched : bunged : bunked
Metaphone of bnkta : 5  : banked : banquet : banquette : bonked : bunked
Soundex of boi : 21  : ba : baa : bah : bay : bayou : be : beau : bee : bi : bo : boa : boo : boohoo : bow : bowie : boy : buoy : buy : by : bye : byway
Metaphone of boi : 17  : ba : baa : bah : bay : be : beau : bee : bi : bo : boa : boo : bough : bow : boy : buoy : buy : by
Soundex of bpia : 21  : ba : baa : bah : bay : bayou : be : beau : bee : bi : bo : boa : boo : boohoo : bow : bowie : boy : buoy : buy : by : bye : byway
Metaphone of bpia : 3  : bap : beep : bop
Soundex of bpqfjj : 22  : backpack : backpacked : backpacker : backpackers : backpacking : backpacks : backspace : backspaced : backspaces : backspacing : backups : bespeak : bespeaking : bespeaks : bespectacled : bespoke : bespoken : biceps : bishops : bookshops : bugaboos : busboys
Soundex of bpx : 98  : bach : back : backs : bag : baggy : bags : baize : bake : bas : base : bash : bask : basks : basque : bass : bausch : bayeux : bayous : bays : bbc : bc : beach : beachy : beak : beaks : beaux : beck : becky : beech : bees : beg : begs : beige : bess : bias : big : biggs : bijou : bike : bikeway : bioassay : bios : bis : biscay : bisque : bissau : biz : boas : bog : bogey : boggy : bogie : bogs : bogy : boise : boogie : boohoos : book : bookie : books : boos : booze : boozy : bosch : bosh : bosky : boss : bossy : bough : bowes : bowies : bows : box : boxy : boyce : boyish : boys : bozo : bsc : buck : buckeye : bucks : bug : buggy : bugs : buick : buoys : bus : bush : bushy : busk : busks : buss : busy : buys : buzz : byes : byways
Metaphone of bpx : 1  : biopics
Soundex of bqjgrf : 10  : bicarbonate : bicarbonates : biograph : biographer : biographers : biographic : biographical : biographically : biographies : biography
Soundex of bqjnua : 26  : bacon : basin : bassoon : beacon : became : beckon : become : beecham : began : begin : begone : begonia : begun : besoin : bigamy : bikini : bison : bosnia : bosom : boson : bosun : buchan : buckskin : buskin : buxom : bygone
Soundex of bqnnf : 10  : backcomb : backcombed : backcombing : backcombs : bookmobile : bookmobiles : bougainvillaea : bougainvillea : boysenberries : boysenberry
Soundex of bqvpn : 19  : backbencher : backbenches : backbend : backbends : backbone : backbones : backspin : backspins : beekeeping : bespangle : bespangled : bespangles : bespangling : bookbinder : bookbinderies : bookbinders : bookbindery : bookbinding : bookkeeping
Soundex of brf : 10  : barb : bereave : brava : brave : bravo : breve : brevia : bribe : brief : burp
Metaphone of brf : 8  : bereave : borough : brava : brave : bravo : breve : brevia : brief
Soundex of brlurv : 5  : brawler : brawlers : broiler : broilers : burlier
Soundex of bsdfld : 10  : backstop : backstopping : backstops : basketball : basketballs : basketful : basketfuls : boastful : boastfully : bucketful
Soundex of btgum : 38  : batching : batsman : batsmen : beadsman : beadsmen : beautician : beauticians : bedchamber : bedchambers : bedecking : bedizen : bedizened : bedizening : bedizens : betaken : betaking : betjeman : betoken : betokened : betokening : betokens : bewitching : bewitchingly : biotechnological : biotechnology : bitchiness : bitching : boatsman : boatsmen : boatswain : boatswains : bodging : bodkin : bodkins : botching : botswana : buddhism : budging
Soundex of btvmy : 6  : beatifying : beautifying : bedaubing : bedpan : bedpans : beethoven
Soundex of buhq : 98  : bach : back : backs : bag : baggy : bags : baize : bake : bas : base : bash : bask : basks : basque : bass : bausch : bayeux : bayous : bays : bbc : bc : beach : beachy : beak : beaks : beaux : beck : becky : beech : bees : beg : begs : beige : bess : bias : big : biggs : bijou : bike : bikeway : bioassay : bios : bis : biscay : bisque : bissau : biz : boas : bog : bogey : boggy : bogie : bogs : bogy : boise : boogie : boohoos : book : bookie : books : boos : booze : boozy : bosch : bosh : bosky : boss : bossy : bough : bowes : bowies : bows : box : boxy : boyce : boyish : boys : bozo : bsc : buck : buckeye : bucks : bug : buggy : bugs : buick : buoys : bus : bush : bushy : busk : busks : buss : busy : buys : buzz : byes : byways
Metaphone of buhq : 20  : back : bag : baggy : bake : bbc : bc : beak : beck : becky : beg : big : bike : bog : boggy : book : bookie : buck : bug : buggy : buick
Soundex of bwj : 98  : bach : back : backs : bag : baggy : bags : baize : bake : bas : base : bash : bask : basks : basque : bass : bausch : bayeux : bayous : bays : bbc : bc : beach : beachy : beak : beaks : beaux : beck : becky : beech : bees : beg : begs : beige : bess : bias : big : biggs : bijou : bike : bikeway : bioassay : bios : bis : biscay : bisque : bissau : biz : boas : bog : bogey : boggy : bogie : bogs : bogy : boise : boogie : boohoos : book : bookie : books : boos : booze : boozy : bosch : bosh : bosky : boss : bossy : bough : bowes : bowies : bows : box : boxy : boyce : boyish : boys : bozo : bsc : buck : buckeye : bucks : bug : buggy : bugs : buick : buoys : bus : bush : bushy : busk : busks : buss : busy : buys : buzz : byes : byways
Metaphone of bwj : 10  : badge : beige : bijou : bodge : bogey : bogie : bogy : boogie : budge : budgie
Soundex of bwnqdir : 30  : banged : banished : banister : banisters : banked : bannister : bannisters : banquet : banqueted : banqueting : banquets : banquette : banquettes : beanstalk : beanstalks : bemused : benched : benighted : benzedrine : benzoate : bimestrial : binged : bonged : boniest : bonked : bonniest : bounced : bunched : bunged : bunked
Soundex of bxgfcqd : 22  : backpack : backpacked : backpacker : backpackers : backpacking : backpacks : backspace : backspaced : backspaces : backspacing : backups : bespeak : bespeaking : bespeaks : bespectacled : bespoke : bespoken : biceps : bishops : bookshops : bugaboos : busboys
Soundex of bzkk : 98  : bach : back : backs : bag : baggy : bags : baize : bake : bas : base : bash : bask : basks : basque : bass : bausch : bayeux : bayous : bays : bbc : bc : beach : beachy : beak : beaks : beaux : beck : becky : beech : bees : beg : begs : beige : bess : bias : big : biggs : bijou : bike : bikeway : bioassay : bios : bis : biscay : bisque : bissau : biz : boas : bog : bogey : boggy : bogie : bogs : bogy : boise : boogie : boohoos : book : bookie : books : boos : booze : boozy : bosch : bosh : bosky : boss : bossy : bough : bowes : bowies : bows : box : boxy : boyce : boyish : boys : bozo : bsc : buck : buckeye : bucks : bug : buggy : bugs : buick : buoys : bus : bush : bushy : busk : busks : buss : busy : buys : buzz : byes : byways
Metaphone of bzkk : 10  : basic : bask : basque : bazooka : bezique : biscay : bisque : bosky : bsc : busk
Soundex of calxre : 21  : calcareous : calgary : callgirl : callgirls : calligrapher : calligraphers : calligraphic : calligraphy : chalkier : classier : classroom : classrooms : clicker : clickers : cloakroom : cloakrooms : clockwork : clockworks : closer : closure : closures
Soundex of carluoi : 33  : carl : carlow : carol : carrel : carroll : carryall : ceorl : cereal : charily : charley : charlie : cheerily : cheryl : choral : chorale : chorley : churl : coral : corolla : corral : crawl : crawley : crawly : creel : creole : crewel : crowley : cruel : cruelly : curl : curlew : curly : cyril
Metaphone of carluoi : 32  : carl : carlow : carol : carrel : carroll : coral : corolla : corral : crawl : crawley : crawly : creel : creole : crowley : cruel : cruelly : curl : curlew : curly : gorilla : grail : grill : grille : growl : gruel : guerrilla : karl : kraal : krill : quarrel : queerly : querela
Soundex of cav : 49  : cab : cabbie : cabby : cafe : cap : cape : cave : cb : cbi : cep : chafe : chaff : chap : chapeau : cheap : cheep : chef : chief : chip : chive : chivvy : chivy : chop : choppy : chubb : chubby : chuff : civi : civvy : cob : coffee : coif : coop : cop : cope : coppa : copy : coup : coupe : cove : covey : cowboy : coypu : cub : cuba : cubby : cube : cuff : cup
Metaphone of cav : 23  : cafe : cave : coffee : coif : cough : cove : covey : cuff : gaff : gaffe : gave : goff : gogh : goof : goofy : gov : guava : guff : guffaw : kiev : kph : quaff : quiff
Soundex of cbd : 37  : cabot : capita : capite : capped : caput : caveat : caved : cavity : cepit : chafed : chaffed : chapati : chapatti : chapped : cheeped : cheviot : chipped : chivied : chivvied : chopped : chuffed : civet : cohabit : cohabitee : coifed : cooped : coped : copied : copped : copt : covet : cubbed : cubed : cubit : cuffed : cupid : cupped
Metaphone of cbd : 6  : cabot : cubbed : cubed : cubit : gabbed : kbyte
Soundex of cbor : 25  : caber : caper : capri : cavere : caviar : caviare : chauffeur : cheaper : chipper : chopper : choppier : chubbier : ciboria : cipher : cobra : coffer : coiffeur : coiffure : cooper : copier : copper : coppery : copra : cover : cypher
Metaphone of cbor : 5  : caber : cobra : gabber : gabbier : goober
Soundex of ccxzdw : 43  : cad : caddie : caddy : cat : cathy : catty : cawed : cd : cede : chad : chat : chateau : chatty : cheat : cheetah : chewed : chid : chide : chit : choate : chute : cid : cite : city : coat : coati : cod : coda : code : cooed : coot : cootie : cot : cotta : cowed : cowhide : coyote : cud : cued : cut : cutaway : cute : cwt
Soundex of cdku : 41  : caddies : caddis : caddish : cadge : cadiz : cads : caduca : caducei : cahoots : catch : catchy : cats : cautious : cedes : chadic : chadwick : chaotic : chateaux : chats : cheats : cheetahs : chides : chits : chutes : cites : cities : coatis : coats : codas : codes : codex : cods : coitus : cooties : coots : cots : cottage : cowhides : coyotes : cutaways : cuts
Metaphone of cdku : 2  : caduca : kodak
Soundex of cducuf : 6  : catchpoll : catchpolls : catsup : chutzpah : cityscape : cityscapes
Soundex of cdxozqd : 16  : cadges : caduceus : catches : catchiest : catechise : catechised : catechises : catechising : catechism : catechisms : catechize : catechized : catechizes : catechizing : codices : cottages
Soundex of ceiitpw : 3  : caitiff : citify : codify
Metaphone of ceiitpw : 6  : steep : step : steppe : stoop : stop : stoup
Soundex of cemfx : 155  : cambism : cambist : cambistry : cambists : campaign : campaigned : campaigner : campaigners : campaigning : campaigns : campground : campgrounds : camps : campsite : campsites : campus : campuses : canapes : canapÉs : canaps : cannabis : canopies : canvas : canvasback : canvases : canvass : canvassed : canvasser : canvassers : canvasses : canvassing : champagne : champagnes : champaign : champs : chimps : chomps : chumps : combos : combs : combust : combusted : combustible : combustibles : combusting : combustio : combustion : combusts : comeback : comebacks : comfiest : compact : compacted : compacting : compactly : compactness : compactor : compactors : compacts : compass : compassed : compasses : compassing : compassion : compassionate : compassionately : compos : compose : composed : composedly : composer : composers : composes : composing : composite : composites : composition : compositional : compositions : compositor : compositors : compost : composted : composting : composts : composure : comps : confectio : confection : confectioner : confectioneries : confectioners : confectionery : confections : confess : confessed : confesses : confessing : confession : confessional : confessionals : confessions : confessor : confessors : configurability : configurable : configuration : configurations : configure : configured : configures : configuring : confiscable : confiscate : confiscated : confiscates : confiscating : confiscation : confiscator : confiscators : confiscatory : confucian : confucianism : confucians : confucius : confuse : confused : confusedly : confuses : confusing : confusingly : confusion : confusions : connives : convection : convector : convectors : convex : convexities : convexity : conveys : convict : convicted : convicting : conviction : convictions : convicts : convocation : convocations : convoke : convoked : convokes : convoking : convoys : coombs
Soundex of cetcr : 32  : cadger : cadgers : caducary : catachresis : catachrestic : catcher : catchers : catchier : catchword : catchwords : categoric : categorical : categorically : categories : categorisation : categorisations : categorise : categorised : categorises : categorising : categorization : categorizations : categorize : categorized : categorizes : categorizing : category : chatsworth : codger : codgers : cottager : cottagers
Metaphone of cetcr : 6  : sidecar : stagger : sticker : stickier : stockier : stoker
Soundex of cfbhl : 24  : cabal : cabala : cabbala : cable : cableway : capful : cappella : cavil : chapel : cheaply : chewable : chiefly : civil : civile : civilly : cobble : cobol : coeval : copal : copula : couple : cowbell : cupful : cupola
Soundex of cfxnhbx : 12  : cabochon : cabochons : cappuccino : cappuccinos : capuchin : capuchins : coefficient : coefficients : copesmate : copesmates : copiousness : cubism
Soundex of cirxgck : 101  : caraways : cares : caress : cargo : caries : carious : carouse : carriage : carriageway : carrick : carries : cars : caruso : cerise : chairs : charge : chars : cheers : cherish : cherokee : cherries : choirs : choreic : chores : chorizo : chorus : chris : church : circa : cirque : cirrus : coarse : coerce : coheiress : coheres : coors : cores : corgi : cork : corks : corky : courage : course : cowers : cowries : crack : cracks : cracow : crag : craggy : crags : craig : crake : crash : crass : craws : craze : crazy : crche : creak : creaks : creaky : crease : creche : creek : creeks : cress : crews : crêche : crick : cricks : cries : crisco : croak : croaks : croaky : crocia : crock : crocks : crook : crooks : cross : crouch : crows : cruce : cruise : cruse : crush : crusoe : crux : cruz : cuirass : cures : curies : curios : curious : curries : curs : curse : curso : czars
Soundex of cittmof : 8  : catnap : catnapped : catnapping : catnaps : catnip : catnips : ctenophore : ctenophores
Soundex of ckh : 19  : ca : caw : cc : ce : ch : chew : chewy : chi : chihuahua : chow : co : coi : coo : cow : coy : cs : cue : cui : cy
Metaphone of ckh : 32  : ca : caw : co : coi : coo : cow : coy : cue : cui : gay : go : goo : gooey : guy : ka : kaia : kauai : kay : kew : key : ko : ku : kwh : qua : quae : quay : queue : qui : quia : quo : wc : ywca
